tmdb_id,release_date
23047,2011-01-07
13207,2009-02-11
16871,2009-05-27
6145,2007-04-19
11804,2005-01-07
2085,2000-03-22
9358,2003-01-31
6439,2005-01-06
10641,2000-08-11
8699,2004-06-28
15670,2009-02-20
2976,2007-07-19
1588,2000-08-25
1636,2000-10-19
2832,2003-04-25
32823,2010-06-03
23629,2011-03-24
42297,2010-11-23
49730,2011-03-10
35690,2010-03-31
9335,2005-08-03
10628,2003-01-17
2800,2005-12-22
69798,2011-08-19
6038,2003-02-06
89492,2012-12-20
1491,2006-08-18
8489,2001-12-10
16995,2009-04-17
5279,2001-12-26
9530,2006-04-28
9760,2007-01-25
10067,2006-03-09
11635,2003-02-21
10199,2008-12-18
4349,2007-08-22
9567,2003-03-07
38778,2010-07-30
11459,2005-07-29
7278,2008-01-24
10073,2006-02-17
116,2005-10-26
56288,2011-08-18
9896,2001-08-17
77883,2012-08-30
13051,2008-10-15
50348,2011-03-17
24438,2009-12-17
2114,2001-07-02
170,2002-10-31
1949,2007-03-02
11090,2001-06-01
88794,2011-11-09
13767,2006-11-02
14326,2008-09-26
9963,2007-02-08
38321,2011-05-05
38579,2010-06-03
107,2000-09-01
4133,2001-04-04
48988,2011-02-25
43593,2010-08-20
11931,2005-10-07
10665,2008-05-29
82525,2012-07-06
9754,2006-02-08
38322,2011-02-16
82507,2012-03-29
75674,2012-02-24
1985,2005-08-31
11978,2000-09-13
1248,2007-02-06
6278,2002-07-09
37056,2010-05-13
314,2004-07-22
59965,2011-09-22
1690,2006-01-06
62214,2012-10-04
6171,2003-03-21
12201,2010-01-28
11888,2002-01-18
12589,2001-12-14
10159,2003-09-26
14411,2003-07-02
49517,2011-09-16
4638,2007-02-14
40264,2010-08-18
2082,2007-08-31
4513,2007-10-17
22907,2010-08-26
11329,2003-01-16
711,2000-12-21
10877,2001-03-16
75174,2012-01-26
76494,2012-05-17
13389,2008-09-11
5820,2006-04-19
9884,2002-02-06
12184,2008-02-28
16558,2009-03-18
64690,2011-09-15
11026,2004-08-20
2026,2005-03-10
21208,2009-07-24
5851,2002-03-14
3594,2007-02-23
12100,2002-06-14
18781,2009-03-27
9778,2001-10-05
34806,2010-04-23
28665,2009-09-23
7345,2007-12-26
10611,2002-04-01
10048,2005-07-27
5516,2004-03-25
7214,2005-01-14
455,2002-04-11
13788,2009-01-09
10147,2003-11-26
10501,2000-03-31
10316,2011-10-07
9829,2006-04-28
82650,2012-08-02
33217,2010-03-19
1738,2007-04-25
11232,2001-12-25
10483,2008-08-22
4148,2008-12-19
15159,2009-02-06
14635,2002-03-25
1931,2007-05-16
49520,2011-08-05
11362,2002-01-23
59861,2011-06-30
37735,2010-09-16
768,2001-02-08
4517,2007-09-09
9341,2003-03-28
9583,2002-06-07
17335,2009-02-26
7979,2007-12-14
81836,2012-04-20
8859,2000-12-15
87826,2012-10-10
7183,2007-04-11
9697,2006-07-19
12094,2006-09-22
10796,2001-11-02
1830,2005-09-16
60307,2011-03-25
13515,2008-08-14
1562,2007-04-26
38,2004-03-19
10204,2004-06-16
9381,2008-08-20
13499,2005-11-23
14199,2005-06-10
134,2000-08-30
20829,2009-07-30
49953,2010-08-04
11918,2008-03-28
62835,2011-07-27
9428,2001-10-05
11679,2005-04-27
8326,2003-04-18
11045,2004-10-06
16300,2001-02-16
9645,2002-10-25
22970,2012-04-12
10479,2000-04-07
11237,2004-08-25
253353,2008-02-01
9693,2006-09-22
12620,2008-08-22
11247,2004-07-16
5176,2007-09-06
9975,2006-02-10
4413,2007-09-12
22804,2009-10-22
9792,2006-03-10
10762,2004-08-20
2284,2007-11-16
1257,2007-02-02
38358,2010-08-27
8836,2008-07-24
